AAR,BYDEL,ALDERSKAT,IETYPE,SOC_GRUPPE,SOCSTIL,PERSONER
2013,3,2,3,1,136,47
2013,3,2,3,2,201,17
2013,3,2,3,2,202,21
2013,3,2,3,3,309,37
2013,3,2,3,3,311,4
2013,3,2,3,3,312,18
2013,3,2,3,3,322,1
2013,3,2,3,3,323,1
2013,3,2,3,3,331,7
2013,3,2,3,3,333,3
2013,3,2,3,3,340,47
2013,3,2,3,3,350,548
2013,3,2,3,3,360,234
2013,3,3,1,1,115,12
2013,3,3,1,1,116,272
2013,3,3,1,1,118,50
2013,3,3,1,1,120,1
2013,3,3,1,1,131,73
2013,3,3,1,1,132,2958
2013,3,3,1,1,133,756
2013,3,3,1,1,134,3487
2013,3,3,1,1,135,337
2013,3,3,1,1,136,227
2013,3,3,1,2,201,258
2013,3,3,1,2,202,34
2013,3,3,1,3,309,142
2013,3,3,1,3,311,20
2013,3,3,1,3,312,35
2013,3,3,1,3,315,3
2013,3,3,1,3,316,27
2013,3,3,1,3,319,2
2013,3,3,1,3,322,41
2013,3,3,1,3,323,30
2013,3,3,1,3,331,33
2013,3,3,1,3,340,122
2013,3,3,1,3,350,1717
2013,3,3,1,3,360,348
2013,3,3,2,1,115,2
2013,3,3,2,1,116,31
2013,3,3,2,1,118,4
2013,3,3,2,1,131,6
2013,3,3,2,1,132,339
2013,3,3,2,1,133,101
2013,3,3,2,1,134,372
2013,3,3,2,1,135,142
2013,3,3,2,1,136,120
2013,3,3,2,2,201,62
2013,3,3,2,2,202,22
2013,3,3,2,3,309,42
2013,3,3,2,3,311,7
2013,3,3,2,3,312,4
2013,3,3,2,3,316,8
2013,3,3,2,3,322,11
2013,3,3,2,3,323,5
2013,3,3,2,3,331,7
2013,3,3,2,3,340,45
2013,3,3,2,3,350,327
2013,3,3,2,3,360,674
2013,3,3,3,1,115,1
2013,3,3,3,1,116,6
2013,3,3,3,1,118,1
2013,3,3,3,1,131,2
2013,3,3,3,1,132,44
2013,3,3,3,1,133,31
2013,3,3,3,1,134,96
2013,3,3,3,1,135,12
2013,3,3,3,1,136,14
2013,3,3,3,2,201,25
2013,3,3,3,2,202,2
2013,3,3,3,3,309,15
2013,3,3,3,3,311,3
2013,3,3,3,3,312,6
2013,3,3,3,3,316,3
2013,3,3,3,3,322,4
2013,3,3,3,3,323,4
2013,3,3,3,3,331,5
2013,3,3,3,3,340,15
2013,3,3,3,3,350,33
2013,3,3,3,3,360,30
2013,3,4,1,1,115,143
2013,3,4,1,1,116,1032
2013,3,4,1,1,118,124
2013,3,4,1,1,120,1
2013,3,4,1,1,131,474
2013,3,4,1,1,132,7614
2013,3,4,1,1,133,1739
2013,3,4,1,1,134,4028
2013,3,4,1,1,135,591
2013,3,4,1,1,136,673
2013,3,4,1,2,201,926
2013,3,4,1,2,202,168
2013,3,4,1,3,309,302
2013,3,4,1,3,311,57
2013,3,4,1,3,312,100
2013,3,4,1,3,315,5
2013,3,4,1,3,316,64
2013,3,4,1,3,319,65
2013,3,4,1,3,322,88
2013,3,4,1,3,323,238
2013,3,4,1,3,331,833
2013,3,4,1,3,333,22
2013,3,4,1,3,340,693
2013,3,4,1,3,350,525
2013,3,4,1,3,360,782
2013,3,4,2,1,115,106
2013,3,4,2,1,116,304
2013,3,4,2,1,118,37
2013,3,4,2,1,120,10
2013,3,4,2,1,131,46
2013,3,4,2,1,132,894
2013,3,4,2,1,133,235
2013,3,4,2,1,134,1173
2013,3,4,2,1,135,747
2013,3,4,2,1,136,500
2013,3,4,2,2,201,369
2013,3,4,2,2,202,172
2013,3,4,2,3,309,237
2013,3,4,2,3,311,21
2013,3,4,2,3,312,108
2013,3,4,2,3,315,2
2013,3,4,2,3,316,30
2013,3,4,2,3,319,23
2013,3,4,2,3,322,24
2013,3,4,2,3,323,134
2013,3,4,2,3,331,696
2013,3,4,2,3,333,5
2013,3,4,2,3,340,1056
2013,3,4,2,3,350,134
2013,3,4,2,3,360,1170
2013,3,4,3,1,115,6
2013,3,4,3,1,116,17
2013,3,4,3,1,118,2
2013,3,4,3,1,120,1
2013,3,4,3,1,131,8
2013,3,4,3,1,132,115
2013,3,4,3,1,133,43
2013,3,4,3,1,134,108
2013,3,4,3,1,135,19
2013,3,4,3,1,136,17
2013,3,4,3,2,201,41
2013,3,4,3,2,202,15
2013,3,4,3,3,309,14
2013,3,4,3,3,312,4
2013,3,4,3,3,316,5
2013,3,4,3,3,319,1
2013,3,4,3,3,322,4
2013,3,4,3,3,323,15
2013,3,4,3,3,331,29
2013,3,4,3,3,333,1
2013,3,4,3,3,340,31
2013,3,4,3,3,350,18
2013,3,4,3,3,360,51
2013,3,5,1,1,115,13
2013,3,5,1,1,116,66
2013,3,5,1,1,118,8
2013,3,5,1,1,120,1
2013,3,5,1,1,131,31
2013,3,5,1,1,132,254
2013,3,5,1,1,133,92
2013,3,5,1,1,134,258
2013,3,5,1,1,135,48
2013,3,5,1,1,136,61
2013,3,5,1,2,201,31
2013,3,5,1,2,202,7
2013,3,5,1,3,309,13
2013,3,5,1,3,311,4
2013,3,5,1,3,312,3
2013,3,5,1,3,316,7
2013,3,5,1,3,319,1
2013,3,5,1,3,323,14
2013,3,5,1,3,324,316
2013,3,5,1,3,326,12
2013,3,5,1,3,329,475
2013,3,5,1,3,331,379
2013,3,5,1,3,333,29
2013,3,5,1,3,340,58
2013,3,5,1,3,350,1
2013,3,5,1,3,360,57
2013,3,5,2,1,115,21
2013,3,5,2,1,116,19
2013,3,5,2,1,118,2
2013,3,5,2,1,120,1
2013,3,5,2,1,131,3
2013,3,5,2,1,132,29
2013,3,5,2,1,133,9
2013,3,5,2,1,134,39
2013,3,5,2,1,135,38
2013,3,5,2,1,136,23
2013,3,5,2,2,201,16
2013,3,5,2,2,202,4
2013,3,5,2,3,309,5
2013,3,5,2,3,323,8
2013,3,5,2,3,324,92
2013,3,5,2,3,326,5
2013,3,5,2,3,329,159
2013,3,5,2,3,331,174
2013,3,5,2,3,333,4
2013,3,5,2,3,340,79
2013,3,5,2,3,360,41
2013,3,5,3,1,116,1
2013,3,5,3,1,133,1
2013,3,5,3,1,134,1
2013,3,5,3,1,136,1
2013,3,5,3,3,329,3
2013,3,5,3,3,331,4
2013,3,5,3,3,340,2
2013,3,5,3,3,360,1
2013,3,6,1,1,115,9
2013,3,6,1,1,116,43
2013,3,6,1,1,118,8
2013,3,6,1,1,120,1
2013,3,6,1,1,131,5
2013,3,6,1,1,132,40
2013,3,6,1,1,133,7
2013,3,6,1,1,134,38
2013,3,6,1,1,135,11
2013,3,6,1,1,136,33
2013,3,6,1,3,311,1
2013,3,6,1,3,329,3485
2013,3,6,1,3,333,1
2013,3,6,1,3,360,5
2013,3,6,2,1,115,4
2013,3,6,2,1,116,5
2013,3,6,2,1,120,1
2013,3,6,2,1,132,3
2013,3,6,2,1,133,1
2013,3,6,2,1,134,9
2013,3,6,2,1,135,2
2013,3,6,2,1,136,6
2013,3,6,2,3,329,764
2013,3,6,2,3,340,28
2013,3,6,2,3,360,28
2013,3,6,3,1,132,1
2013,3,6,3,1,134,1
2013,3,6,3,3,329,8
2013,3,6,3,3,360,1
2013,4,1,1,1,132,4
2013,4,1,1,1,133,2
2013,4,1,1,1,134,29
2013,4,1,1,1,135,11
2013,4,1,1,1,136,24
2013,4,1,1,3,400,7781
2013,4,1,2,1,133,1
2013,4,1,2,1,134,1
2013,4,1,2,1,136,1
2013,4,1,2,3,400,251
2013,4,1,3,1,134,5
2013,4,1,3,1,135,5
2013,4,1,3,1,136,5
2013,4,1,3,3,400,1274
2013,4,2,1,1,115,2
2013,4,2,1,1,116,39
2013,4,2,1,1,118,16
2013,4,2,1,1,131,19
2013,4,2,1,1,132,363
2013,4,2,1,1,133,186
2013,4,2,1,1,134,2633
2013,4,2,1,1,135,357
2013,4,2,1,1,136,173
2013,4,2,1,2,201,30
2013,4,2,1,2,202,30
2013,4,2,1,3,309,52
2013,4,2,1,3,311,11
2013,4,2,1,3,312,45
2013,4,2,1,3,315,1
2013,4,2,1,3,322,3
2013,4,2,1,3,323,7
2013,4,2,1,3,331,6
2013,4,2,1,3,333,8
2013,4,2,1,3,340,118
2013,4,2,1,3,350,1364
2013,4,2,1,3,360,309
2013,4,2,2,1,115,2
2013,4,2,2,1,116,10
2013,4,2,2,1,118,1
2013,4,2,2,1,131,1
2013,4,2,2,1,132,41
2013,4,2,2,1,133,25
2013,4,2,2,1,134,173
2013,4,2,2,1,135,60
2013,4,2,2,1,136,109
2013,4,2,2,2,201,5
